delegate,payout_pct,excluded
"yin
",100.00,0.00
"ravelou
",100.00,0.00
"dr10
",70.00,"413,299.00"
"del
",100.00,0.00
"calidelegate
",100.00,0.00
"dutchdelegate
",95.00,0.00
"sharkpool
",90.00,0.00
"jarunik
",85.00,0.00
"quarkpool
",95.00,0.00
"goose
",92.00,0.00
"reconnico
",85.00,0.00
"arkpool
",80.00,0.00
"chris
",80.00,0.00
"wes
",90.00,0.00
"sharkark
",100.00,0.00
"doom
",90.00,0.00
"ghostfaceuk
",85.00,"18,043.00"
"anamix
",80.00,0.00
"ryano
",35.00,"513,895.00"
"dafty
",80.00,0.00
"jamiec79
",85.00,0.00
"corsaro
",75.00,0.00
"arky
",60.00,0.00
"bioly
",80.00,0.00
"biz_classic
",0.00,0.00
"arkx
",90.00,0.00
"superstar
",80.00,0.00
"arkship
",90.00,0.00
"bangomatic
",0.00,0.00
"boxpool
",0.00,0.00
"arkgallery
",0.00,0.00
"emotive_ark
",0.00,0.00
"samuray
",0.00,0.00
"bbclubark
",0.00,0.00
"pieface
",90.00,0.00
"rasputin
",0.00,0.00
"kolap
",0.00,0.00
"atreides_wannabe
",0.00,0.00
"pitbull
",0.00,0.00
"acf
",0.00,0.00
"tibonos
",0.00,0.00
"smartthings
",0.00,0.00
"rob
",7.00,"1,220,133.00"
"axi
",80.00,0.00
"doc
",0.00,0.00
"ares
",0.00,0.00
"forginator
",0.00,0.00
"jiraffes
",0.00,0.00
"therock
",0.00,0.00
"toad
",95.00,0.00
"digitron
",0.00,0.00